Plant Name,Family,Common Name,Uses,Image File
Abutilon theophrastii Medik.,MALVACEAE,Indian Mallow (Eng.),"The decoction of seeds is used in dysentery and fistula, and also for sore eyes.",Abutilon_theophrastii_Medik..jpg
Acacia catechu (L.f.) Willd.,MIMOSACEAE,Khair,"Cutch from wood powerful astringent used in urinary and
vaginal discharge, antidiarrhoeal,
haemostatic; used for treating
excessive mucous discharges,
haemorrhages, relaxed conditions
of gums, throat and mouth, stomatitis, irritable bowel; also used as an antileprotic drug.",Acacia_catechu_L.f._Willd..jpg
Acacia farnesiana (L.) Willd.,MIMOSACEAE,Vilayati kikar,"Bark used in stomatitis,
ulcers, swollen gums, dental
caries, bronchitis, skin diseases.",Acacia_farnesiana_L._Willd..jpg
Acacia jacquemontii Benth.,MIMOSACEAE,"Kikar, Babul (Punjab)","Bud and bark used in ringworm, other skin disease.",Acacia_jacquemontii_Benth..jpg
Acacia leucophloea (Roxb.) Willd.,MIMOSACEAE,"Safed kikar, Arimeda","Leaves antisyphilitic and antibacterial. Gum demulcent. Bark bitter, demulcent and
cooling used in biliousness and
bronchitis.",Acacia_leucophloea_Roxb._Willd..jpg
Acacia modesta Wall.,MIMOSACEAE,Phulai (Punjab),"Tender twigs, cleared of thorns, are chewed to make brushes (Datoon) for cleaning teeth.",Acacia_modesta_Wall..jpg
Acacia nilotica (L.) Willd. ex Delile,MIMOSACEAE,"Kirkar, Babula","Stembark astringent,
spasmolytic, hypoglycaemic.
Gum demulcent (soothing agent
for inflammatory conditions of the respiratory, digestive and urinary tracts). Pods used in urogenital disorders. Seed oil antifungal.",Acacia_nilotica_L._Willd._ex_Delile.jpg
Acacia pennata (L.) Willd.,MIMOSACEAE,"Aila, Biswal","Bark antibilious, antiasthmatic.
Leaf stomachic, styptic (for bleeding gum), antiseptic (for
scalding of urine). A decoction of young leaves is taken for body pain, headache and fever.",Acacia_pennata_L._Willd..jpg
Acacia rugata (Lam.) Merr.,MIMOSACEAE,"Kochi, Ritha","Leaves an infusion is given in malarial fever. Pods and seeds decoction is used to remove
dandruff. An ointment is used for skin diseases. Bark extract is used in leprosy.",Acacia_rugata_Lam._Merr..jpg
Acacia senegal (L.) Willd.,MIMOSACEAE,Goradio-babul (Guj.),"Stembark antiinflammatory, spasmolytic. Root used for dysentery and urinary discharges.",Acacia_senegal_L._Willd..jpg
Acacia torta (Roxb.) Craib,MIMOSACEAE,Aila,"Flower is used in emmenagogue.
Bark anti-inflammatory, antisepticused in skin diseases.",Acacia_torta_Roxb._Craib.jpg
Acalypha fruticosa Forsk.,EUPHORBIACEAE,Chinniaka (Tel.),"Leaves are used to treat digestive troubles and its infusion is used as vulnerary.
 Leaf juice is used in ophthalmia.",Acalypha_fruticosa_Forsk..jpg
Acalypha indica L.,EUPHORBIACEAE,"Kuppi, Khokli","Decoction is used as laxative.The herb is used against severe cough associated with
 bleeding from the lungs (haemoptysis) and insipient phthisis. Leaf juice is employed
 for cutaneous troubles. Juice of fresh leaves are emetic and is useful in croup.",Acalypha_indica_L..jpg
Acalypha racemosa Wall. ex Bailley,EUPHORBIACEAE,Valia-kuppameni (Finnish),"Decoction is used as laxative. The herb is used against severe cough associated with bleeding from 
the lungs (haemoptysis) and insipient phthisis. Leaf juice is  employed for treating  cutaneous troubles.
 Juice of fresh leaves is a reliable emetic, found useful in cases of croup.",Acalypha_racemosa_Wall._ex_Bailley.jpg
Acampe papillosa (Lindl.) Lindl.,ORCHIDACEAE,Alasyakampa (Tel.),Roots used in rheumatism.,Acampe_papillosa_Lindl._Lindl..jpg
Acanthus illicifolius L.,ACANTHACEAE,Hargoza,"Leaves are used for fomentation in neuralgia and rheumatism. It is used as expectorant. 
Roots are used in treating asthma, paralysis, leuchorrhoea, debility.",Acanthus_illicifolius_L..jpg
Achillea millefolium L.,ASTERACEAE,"Gandana, Roojamari (Kan.)","A decoction of it is given in colic. Contains the alkaloid achilline ; also yields an essential oil, used as a haemostatic. Herb considered
astringent, tonic, diaphoretic, vulnerary and styptic. Decoction of leaves carminative and stimulant.",Achillea_millefolium_L..jpg
Achyranthes aspera L.,AMARANTHACEAE,Latjira,Decoction of herb is diuretic and used in renal dropsies.,Achyranthes_aspera_L..jpg
Achyranthes bidentata Blume,AMARANTHACEAE,Apamarga (Assam),"Leaf is used in treating cholera, blisters in mouth. Whole plant is used in treating scrofula and 
whooping cough. Root is used to treat hemicrania and scorpion sting.",Achyranthes_bidentata_Blume.jpg
Aconitum balfourii Stapf,RANUNCULACEAE,Gobari (West Nepal),Yields an alkaloid pseudaconitine,Aconitum_balfourii_Stapf.jpg
Aconitum bisma (Buch. -Ham.) Rapaics,RANUNCULACEAE,Bikhima,The root extracts are used as a tonic in case of vomiting and bowel problems.,Aconitum_bisma_Buch._-Ham._Rapaics.jpg
Aconitum chasmanthum Holmes ex Stapf,RANUNCULACEAE,"Bisha, Ban-bal-nag (Kashmir)",Roots yield many medicinally important alkaloids.,Aconitum_chasmanthum_Holmes_ex_Stapf.jpg
Aconitum falconeri Stapf,RANUNCULACEAE,Bis (Gharwal),"Roots employed for treating nervous and digestive diseases , rheumatism and fevers.",Aconitum_falconeri_Stapf.jpg
Aconitum heterophyllum Wall. ex Royle,RANUNCULACEAE,Atis,"Roots are used for treating hysteria, throat infections, dyspepsia, vomiting, abdominal pain and diabetes.",Aconitum_heterophyllum_Wall._ex_Royle.jpg
Aconitum laciniatum (Bruhl) Stapf,RANUNCULACEAE,Kalo bikhoma (Sikkim),Root extracts used in commercial drugs.,Aconitum_laciniatum_Bruhl_Stapf.jpg
Aconitum novoluridum Munz,RANUNCULACEAE,Mahoor,Used to treat neuralgia and rheumatism.,Aconitum_novoluridum_Munz.jpg
Aconitum spicatum (Bruhl) Stapf,RANUNCULACEAE,Bikh or Bish (Nepal & Sikkim),Roots yield alkaloids which have antipyretic and analgesic properties.,Aconitum_spicatum_Bruhl_Stapf.jpg
Aconitum violaceum Jacq. Ex Stapf,RANUNCULACEAE,Tilia Kachang (Sutlej Basin),Roots yield an alkaloid which is used as a tonic.,Aconitum_violaceum_Jacq._Ex_Stapf.jpg
Acorus calamus L.,ARACEAE,"Bach, Gora-bach","Rhizomes used in epilepsy and other mental ailments, chronic diarrhoea and dysentery, and glandular and abdominal tumours.",Acorus_calamus_L..jpg
Acronychia pedunculata (L.) Miq.,RUTACEAE,Paowlay (Nepal),Root and bark is applied to sores and ulcers.,Acronychia_pedunculata_L._Miq..jpg
Actaea spicata L.,RANUNCULACEAE,Vishaphala (Kan.),"Rhizome extract is used for nervous disorders, ovarian neuralgia and uterine tenderness.",Actaea_spicata_L..jpg
Actiniopteris radiata(Swartz) Link,ACTINIOPTERIDACEAE,"Morpankhi, Morshikha (Local names)","Stem and leaves used as styptic, antibacterial, antipyretic, also used in Gynaec complication, headache and dysent.",Actiniopteris_radiataSwartz_Link.jpg
Actinodaphne hookeri Meissn.,LAURACEAE,Tudambo (Oriya),In case of ordinary disorders leaves are utilized. The oil which made form the seed is ustilized for sprains.,Actinodaphne_hookeri_Meissn..jpg
Adansonia digitata L.,BOMBACACEAE,"Gorak, Amli","The pulp of the fruits is diaphoretic,  and gives comfort in case of bronchial asthma and allergic dermatitis.",Adansonia_digitata_L..jpg
Adenanthera pavonia L.,MIMOSACEAE,"Barigumchi, Kunchandana (Sans.)","The seeds as well as wood decoction is employed for pulmonary infections and in chronic ophthalmia it applied. The seeds of the plant show inhibitory activity against trypsin and a-chymotripsin, but if the seeds are subjected to heat it will loose its activity.",Adenanthera_pavonia_L..jpg
Adenia wightiana (Wall. ex Wight & Arn.) Engl.,PASSIFLORACEAE,Perumkorattaikodi (Tam.),Roots and fruits are poisonous.,Adenia_wightiana_Wall._ex_Wight_&_Arn._Engl..jpg
Adenostemma lavenia (L.) Kuntze,ASTERACEAE,Jangli-jira,"The plant has antiseptic property, used in cuts, insects bite and in wounds.",Adenostemma_lavenia_L._Kuntze.jpg
Adiantum capillus-veneris L.,ADIANTACEAE,"Hansraj, Mubaraka","The fern is used as a pectoral demulcent, expectorant and tonic. It is boiled in wine which is given in cases of hard tumours of the spleen, liver and other viscera.",Adiantum_capillus-veneris_L..jpg
Adiantum caudatum L.,ADIANTACEAE,Mayurshikha (Sans.),Used in hemicrania and diabetes.,Adiantum_caudatum_L..jpg
Adiantum philippense L.,ADIANTACEAE,Kalijhant,"Used in blood diseases and epileptic fits. In Bihar, the fern is used in cases of rabies. Rhizomes used for strangury and in fever due to elephantiasis. Fronds are burnt in oil and applied to itch.",Adiantum_philippense_L..jpg
Adiantum venustum D.Don,ADIANTACEAE,Mayir sikki (Tam.),"Used as an anodyne in bronchitis; also used against tumours, biliousness, inflammatory diseases of the chest, and ophthalmia.",Adiantum_venustum_D.Don.jpg
Adonis aestivalis L.,RANUNCULACEAE,Summer Pheasant's Eye (Eng.),Used as a Diuretic and cardiac stimulant. Flowers have laxative properties.,Adonis_aestivalis_L..jpg
Aegle marmelos (L.) Corr.,RUTACEAE,Bel,"Unripe or half ripe fruits are used as astringent, digestive, and stomachic; also used for diarrhoea and dysentery. Pulp aromatic and cooling, used in the form of sherbet. Marmelosin is the active constituent; it is used  as a laxative and diuretic, if used in strong doses act as cardiac depressant.",Aegle_marmelos_L._Corr..jpg
Aerva javanica (Burm.f.) Juss. ex Schult.,AMARANTHACEAE,Bur (Guj.),Herb is diuretic and demulcent.,Aerva_javanica_Burm.f._Juss._ex_Schult..jpg
Aerva lanata (L.) Juss.,AMARANTHACEAE,"Gorakhganja, Chaya (Beng.)","It is used in cough,sore throat, diabetes and lithiasis.Decoction is diuretic.",Aerva_lanata_L._Juss..jpg
Aesculus indica Colebr. ex Camb.,HIPPOCASTANACEAE,Pangar,Fruits given to horses in colic. Oil from the seeds used in rheumatism.,Aesculus_indica_Colebr._ex_Camb..jpg
Aganosma caryophyllata G.Don,APOCYNACEAE,Maalati,"It is used as an ingredient of an Ayurvedic compound called Vishgarbha
 thaila which has anodyne and sedative properties and usedin paraplegia, sciatica and neuralgia.",Aganosma_caryophyllata_G.Don.jpg
Agave americana Blanco,AMARYLLIDACEAE,"Bans-keora, Kantala","Plant also used as a fishpoison. Core of the plant used for ascites, dropsy, venereal sores, and dysentery.  Leaves used as laxative and emmenagogue, also given for scurvy; also syphilis, scrofula and cancer. Roots diuretic and diaphoretic.",Agave_americana_Blanco.jpg
Agave americana L.,AMARYLLIDACEAE,Chick-kuri (Local name),"Root is diuretic and anti-syphilitic. Sap is laxative, diuretic, emmenagogue and antiscorbutic.",Agave_americana_L..jpg
Agave angustifolia Haw.,AMARYLLIDACEAE,Kantala (Sans.),Used in contusions of draught cattle.,Agave_angustifolia_Haw..jpg
Agave sisalana Perr. ex Engelm.,AMARYLLIDACEAE,Sisal (Eng.),Sap is also used for extraction of hecogenin. Juice of leaves ecbolic.,Agave_sisalana_Perr._ex_Engelm..jpg
Ageratum conyzoides L.,ASTERACEAE,Uchunti (Beng.),"Decoction or infusion used in diarrhoea, dysentery, colic with flatulence and other gastrointestinal ailments. Extract of flowers is useful in Asiatic form of Schwartz Leukaemia and prolonged the life-span of mice.Leaves styptic and vulnerary;",Ageratum_conyzoides_L..jpg
Aglaia elaeagnoidea (Juss.) Benth.,MELIACEAE,"Gandha priyangu, Yerraaduga (Tel.)",Roots and bark wxtract used in dysentery and skin problems and leaves in abdominal pain. Fruits and seeds given in uterine problems.,Aglaia_elaeagnoidea_Juss._Benth..jpg
Agropyron repens (L.) Beauv.,POACEAE,"Couch grass, Dog grass (Eng.)","Rhizomes diuretic and demulcent. Root juice used for cirrhous liver, tumours, and cancerous growths.",Agropyron_repens_L._Beauv..jpg
Ailanthus altissima (Mill.) Swingle,SIMAROUBACEAE,Tree of Heaven (Eng.),"Bark is antispasmodic and parasiticidal, used as a powerful depressing influence on the nervous system similar to that of tobacco. Used in diarrhoea and dysentery; contain tannin 11%. Root bark may be recommended for cardiac troubles, epilepsy  and asthma.",Ailanthus_altissima_Mill._Swingle.jpg
Ailanthus excelsa Roxb.,SIMAROUBACEAE,"Arlu, Maruk","Bark is anthelmintic, antispasmodic, expectorant and febrifuge, used for asthma and bronchitis, dysentery. It is said to be a good substitute for kurchi bark (Holarrhenci antidysenterica Wall.), contains several quassinoids. Root barks yield alkaloids.",Ailanthus_excelsa_Roxb..jpg
Ailanthus triphysa (Dennst.) Alston,SIMAROUBACEAE,Guggul Dhup,"Bark is carminative, tonic and febrifuge. Juice is used for asthma, bronchitis an dysentery. Decoction is applied in typhoid and constipation. Tree produces a resin (mattipal) which is used in bronchitis and dysentery.",Ailanthus_triphysa_Dennst._Alston.jpg
Ajuga bracteosa Wall. ex Benth.,LAMIACEAE,Nilkanthi (Sans.),"Leaves are used as stimulant, diuretic, astringent, febrifuge and useful in gout,
rheumatism, palsy, amenorrhoea,malaria. Leaves are substitute of quinine to control fever.",Ajuga_bracteosa_Wall._ex_Benth..jpg
Alangium salvifolium (L.f.) Wang.,ALANGIACEAE,"Akola, Dhera","Root bark used for cutaneous troubles;astringent, anthelmintic, purgative, emetic and diaphoretic. Also used forbiliousness and colic and as a substitute for ipecac (Cephaelis ipecacuanha A.Rich.). The bark exhibits antitubercular activity. It contains the alkaloid alangine which shows a selective action on the parasympathetic mechanism, the action being most marked on gastro-intestinal tract. Root extract shows hypotensive
action. Leaves are hypoglyc",Alangium_salvifolium_L.f._Wang..jpg
Albizzia amara (Roxb.) Boivin,MIMOSACEAE,Lallei (Mar.),"Flowers and leaves are applied in local inflammations, such as boils, erysipelas. It's cooling and useful in inflammatory infections.",Albizzia_amara_Roxb._Boivin.jpg
Albizzia lebbeck (L.) Willd.,MIMOSACEAE,Siris,"The seeds used for ophthalmic
diseases; the oil extracted from them is considered useful in leprosy. The bark used in injuries to the eye.",Albizzia_lebbeck_L._Willd..jpg
Albizzia odoratissima (L.f.) Benth.,MIMOSACEAE,Kala siris,"The bark applied externally, is used efficacious in the leprosy and in inveterate ulcers. The leaves boiled in ghi are used as a remedy for coughs.",Albizzia_odoratissima_L.f._Benth..jpg
Aleurites mollucana Willd.,EUPHORBIACEAE,Candle Nut Tree (Eng.),Oil obtained from seeds are purgative.,Aleurites_mollucana_Willd..jpg
Alhagi pseudoalhagi (Bieb.) Desv.,FABACEAE,"Bharbharra, Jawasa","The plant contains laxative, diuretic, antibilious, and antiseptic properties. The twigs  of the plant  and also the flowers used for fumigation in piles. For cough decoction of twigs is used.  For swellings and abscesses decoction of roots are used. Twigs contain alkaloids which showed sympathomimetic activity. A sweet, sugary excretion, Alhagi manna, obtained from the plant is called Taranjabin and used as an expectorant, anti-emetic, and laxative.",Alhagi_pseudoalhagi_Bieb._Desv..jpg
Alhagi pseudoalhagi (Bieb.) Desv.,FABACEAE,"Bharbharra, Jawasa",The leaves of the plant is used in asthma and fever. The flower are employed for blood coagulant.,Alhagi_pseudoalhagi_Bieb._Desv..jpg
Allamanda cathartica L.,APOCYNACEAE,Harkakra (Beng.),"Leaves are used as cathartic. Bark and its decoction is administered as hydrogogue in 
ascites.",Allamanda_cathartica_L..jpg
Allium cepa L.,LILIACEAE,Piyaz,"Bulbs stimulant, diuretic and expectorant, used against flatulence and dysentery.",Allium_cepa_L..jpg
Allium macleanii Baker,LILIACEAE,Salabmisri,Tubers and fecula of the root are used in medicine.,Allium_macleanii_Baker.jpg
Alnus nepalensis D.Don,BETULACEAE,Utis,Bark is used to treat foot diseases.It is diuretic and reduce swelling of the leg.,Alnus_nepalensis_D.Don.jpg
Alnus nitida Endl.,BETULACEAE,Utis,Bark is used on cut and wounds.,Alnus_nitida_Endl..jpg
Alocasia macrorrhizos (L.) G.Don,ARACEAE,Boro mankachu (Assam),"Leaf used as tringent, styptic, antitumour. Rootstock used as laxative, diuretic (in anasarca); used in inflammations and diseases of abdomen and spleen.",Alocasia_macrorrhizos_L._G.Don.jpg
Aloe vera (L.) Burm.f.,LILIACEAE,Ghee-kunvar,Leaves are used in treatment of chronic ulcers. Fresh juice is useful in fevers and pulp is used on uterus; root is used in colic.,Aloe_vera_L._Burm.f..jpg
Aloysia triphylla (L'Herit) Britton,VERBENACEAE,Aloysia triphylla (Eng.),"It has carminative, stomachic, and stimulant properties.",Aloysia_triphylla_L'Herit_Britton.jpg
Alpinia galanga (L.) Willd.,ZINGIBERACEAE,"Kulanjan, Barakulanjan","Rhizome used in rheumatism and bronchial catarrh; also considered stimulant and
carminative.",Alpinia_galanga_L._Willd..jpg
Alpinia nigra (Gaertn.) B.L.Burtt,ZINGIBERACEAE,Gong (Local name),Rhizomes used in gout and colic.,Alpinia_nigra_Gaertn._B.L.Burtt.jpg
Alstonia scholaris (L.) R.Br.,APOCYNACEAE,"Chatium, Chattiyan","Bark is bitter tonic, febrifuge, anthelmintic, galactagogue and used in the form of 
tincture for chronic diarrhea, asthma and cardiac troubles. It is used as haemostatic.
 Leaves are used in treatment of beri-beri, dropsy and congested liver. Latex is applied
 to sores, ulcers, tumours and rheumatic swellings. Ash of the plant is employed as 
caustic to open abscesses.",Alstonia_scholaris_L._R.Br..jpg
Alstonia venenata R.Br.,APOCYNACEAE,Pazha Munnipala (Tam.),Fruits are used in treatment of insanity and epilepsy.,Alstonia_venenata_R.Br..jpg
Alternanthera sessilis (L.) R.Br. ex. DC.,AMARANTHACEAE,"Gudari sag, Giojihra (Sans.)",It is used as galactogogue and to cure night-blindness.,Alternanthera_sessilis_L._R.Br._ex._DC..jpg
Althaea officinalis L.,MALVACEAE,Marsh Mallow (Eng.),The leaves of the plant is considered as  emollient and demulcent. The  mucilage of the roots is used in making absorbent pills and pastilles. .,Althaea_officinalis_L..jpg
Althaea rosea (L.) Cav.,MALVACEAE,Holly-Hock (Eng.),"A red dye is obtained from the flowers which is used as an indicator in acidimetry and alkalimetry. Also it is considered as demulcent, diuretic, emollient,  and used in chest complaints.",Althaea_rosea_L._Cav..jpg
Altingia excelsa Noronha,HAMAMELIDACEAE,Silaras,"Resin  known as Rasamala, obtained from this tree, is carminative, expectorant, stomachic, antiscorbutic, and antipyretic. Used inleucoderma, vesicular calculi, scabies, lumbago, menorrhagia, early stages of hydrocele, and renal and pulmonary troubles.",Altingia_excelsa_Noronha.jpg
Alysicarpus longifolius (Rottler ex Spreng.) Wight & Arn.,FABACEAE,Longleaf Alyce Clover (Eng.),As a substitute for liquorice roots are used.,Alysicarpus_longifolius_Rottler_ex_Spreng._Wight_&_Arn..jpg
Alysicarpus vaginalis (L.) DC.,FABACEAE,"Chauli, Sauri",The plant is used for bone fracture and pain in joints. The root of the plant is employed in antifertility. The roots of the plant is having expeectorant.,Alysicarpus_vaginalis_L._DC..jpg
Amaranthus lividus L.,AMARANTHACEAE,"Sada natya, Van natya",The plant is rich source of potassium nitrate.,Amaranthus_lividus_L..jpg
Amaranthus tricolor L.,AMARANTHACEAE,"Lal sag, Chaulai sag",The tender shoots are rich source of  Vitamin A and Vitamin C.,Amaranthus_tricolor_L..jpg
Amaranthus viridis L.,AMARANTHACEAE,Tanduliya (Sans.),The plant is utilized in snake-bite and scorpion-sting.,Amaranthus_viridis_L..jpg
Amaranthus caudatus L.,AMARANTHACEAE,Ram dana,It is used as pot herb.,Amaranthus_caudatus_L..jpg
Amaranthus spinosus L.,AMARANTHACEAE,Kataili chaulai,"It is febrifuge and is used for eruptive fevers. It is used as lactagogue. Leaves 
are emollient. Infusion of shoots are used in eczema.",Amaranthus_spinosus_L..jpg
Ammania auriculata Willd.,LYTHRACEAE,Jangli Mehndi,The plant is used as a blistering agent.,Ammania_auriculata_Willd..jpg
Ammania baccifera L.,LYTHRACEAE,Dadmari,"Leaves are bitter, stomachic, appetizer, laxative and aphrodisiac. The juices causes ulcers and blebs. leaves are used in raising blisters in rheumatic pains, fevers.",Ammania_baccifera_L..jpg
Ammi visnaga (L.) Lam.,APIACEAE,Toothpick plant (Eng.),Fruits are used as  mild stomachic and carminative in flatulent colic.,Ammi_visnaga_L._Lam..jpg
Amomum aromaticum Roxb.,ZINGIBERACEAE,Morang elaichi,"Seeds yield a medicinal oil and it acts as a stomachic, used to allay irritation of the stomach produced either by cholera or some other infections.",Amomum_aromaticum_Roxb..jpg
Amomum subulatum Roxb.,ZINGIBERACEAE,"Bari elachi, Baara aliach (Beng.)","Seeds oil used as stomachic, allay irritation of the stomach produced either by cholera or some other infections.",Amomum_subulatum_Roxb..jpg
Amorphophallus paeoniifolius (Dennst.) Nicolson,ARACEAE,"Suranakanda, Jamikanda","Plant used in cholera, constip, earache, inflam throat, respir compl, pimples. Corm used in  piles; also in vetenary medicine as gastric.",Amorphophallus_paeoniifolius_Dennst._Nicolson.jpg
Ampelocissus areneosa (Laws.) Planch.,VITACEAE,Kauraj,"Sliced and dried tuberous roots marketed as ""Chamar-musli"" useful as astringent and refrigerant.",Ampelocissus_areneosa_Laws._Planch..jpg
Ampelocissus arnottiana (Wight & Arn.) Planch.,VITACEAE,Jangli-angur,"Root-juice  is used for depurative, aperient and diuretic, eye troubles and also for ulcers.",Ampelocissus_arnottiana_Wight_&_Arn._Planch..jpg
Ampelocissus latifolia (Roxb.) Planch.,VITACEAE,Panibel,Juice of tender leaves used in dental and as a detergent for indolent ulcers. Decoction of roots given in dysentery.,Ampelocissus_latifolia_Roxb._Planch..jpg
Ampelocissus tomentosa (Roth) Planch.,VITACEAE,Atukulabadda (Tel.),For haemorrhoids roots and bark are used. Roots are applied on swellings.,Ampelocissus_tomentosa_Roth_Planch..jpg
Anacardium occidentale L.,ANACARDIACEAE,Kaju,"Karnel eaten for its high protein content. Cashew apple antiscorbutic. Resinous
juice contained in the seeds used in cases of mental derangement, memory disturbances, palpitation of heart, rheumatic pericarditis,
sexual debility.",Anacardium_occidentale_L..jpg
Anagallis arvensis L.,PRIMULACEAE,Jonkmari,"Herb is used for treating dropsy, leprosy, hydrophobia, mania and other cerebral
 infections. It is effective against Ranikhet virus.",Anagallis_arvensis_L..jpg
Anamitra cocculus Wight & Arn.,MENISPERMACEAE,Kakamari (Sans.),"The berry is good expectorant which removes gases from the intestines, good for rheumatism and aplied in inflamation.",Anamitra_cocculus_Wight_&_Arn..jpg
Ananas comosus (L.) Merr.,BROMELIACEAE,Kazudhachakka (Mal.),Juice from ripe fruits is diuretic and antiscorbutic; unripe fruits purgative and abortifacient.,Ananas_comosus_L._Merr..jpg
Anaphalis neelgerryana DC.,ASTERACEAE,Raktaskandana (Sans.),Fresh leaves applied to wounds and cuts in the form of plaster.,Anaphalis_neelgerryana_DC..jpg
Andrographis echinoides (L.) Nees,ACANTHACEAE,Birkubat,"Juice is used as febrifuge.
 Plant is astringent, anodyne, tonic and alexipharmic and used in treatment of dysentery,cholera, diabetes, consumption, influenza, bronchitis, itches and piles. Decoction is used for treating sluggishness of liver and in jaundice. Leave and roots are used as febrifuge, cholagogue and anthelmintic.",Andrographis_echinoides_L._Nees.jpg
Andrographis paniculata (Burm.) Wall. ex Nees,ACANTHACEAE,Kirayat,"Plant is astringent, anodyne, tonic and alexipharmic and used in treatment of dysentery,cholera, diabetes, consumption, influenza, bronchitis, itches and piles. Decoction is used for treating sluggishness of liver and in jaundice. Leave and roots are used as febrifuge, cholagogue and anthelmintic.",Andrographis_paniculata_Burm._Wall._ex_Nees.jpg
Andropogon sorghum (L.) Brot.,POACEAE,Kafir (Eng.),"Grains used in demulcent, diuretic.",Andropogon_sorghum_L._Brot..jpg
Anemone narcissiflora L.,RANUNCULACEAE,Narcissus anemone (Eng.),Plant used in treating skin problems.,Anemone_narcissiflora_L..jpg
Anemone obtusiloba D. Don,RANUNCULACEAE,Ageli (Jaunsar),Root extract is used for concussions and seed oil is used in treating rheumatism,Anemone_obtusiloba_D._Don.jpg
Angelica archangelica L.,APIACEAE,Garden Angelica (Eng.),"Mericarps are aromatic, stimulant and carminative, used in chest and kidney disease. mildly carminative.",Angelica_archangelica_L..jpg
Aniseia martinicensis (Jacq.) Choisy.,CONVOLVULACEAE,Potupala (Sinhalese),Juice is given in bilious dyspepsia and seeds are used as a purgative,Aniseia_martinicensis_Jacq._Choisy..jpg
Anisochilus carnosus (Linn.f.) Wall.,LAMIACEAE,Ajapada (Sans.),"Fresh juice of the leaves are  mixed with sugarcandy and is given to children to cure cough.
 It is mixed with sugar and gingelly oil and it forms a cooling liniment for the head. Leaves and stems are used as infusion in cough and cold.",Anisochilus_carnosus_Linn.f._Wall..jpg
Anisomeles indica (L.) Kuntze,LAMIACEAE,Gobura,Herb is used as astringent and carminative. Essential oil is used in treating uterine infections.,Anisomeles_indica_L._Kuntze.jpg
Anisomeles malabarica (L.) R.Br.,LAMIACEAE,Chodhara (Mar.),"Infusion of leaves are used in dyspepsia and fever accompanying teething in children.
 Decoction of plant or essential oil is used in treating rheumatism.",Anisomeles_malabarica_L._R.Br..jpg
